time,PRT_1,PRT_2,PRT_3,PRT_4,Event_A,MOL_A,Event_B,MOL_B
2020-04-01 00:00:00,7,1,0,0,CHECK_2,0.0,CHECK_2,0.0
2020-04-01 01:00:00,7,1,0,0,CHECK_2,0.0,CHECK_2,0.0
2020-04-01 02:00:00,7,1,0,0,CHECK_2,0.0,CHECK_2,0.0
2020-04-01 03:00:00,7,1,0,0,CHECK_2,0.0,CHECK_2,0.0
2020-04-01 04:00:00,7,1,0,0,CHECK_2,0.0,CHECK_2,0.0
2020-04-01 05:00:00,7,1,0,0,CHECK_2,0.0,CHECK_2,0.0
2020-04-01 06:00:00,7,1,0,0,CHECK_2,0.0,CHECK_2,0.0
2020-04-01 07:00:00,7,1,0,0,CHECK_2,0.0,CHECK_2,0.0
2020-04-01 08:00:00,7,1,0,0,CHECK_2,0.0,CHECK_2,0.0
2020-04-01 09:00:00,7,1,0,0,CHECK_2,0.0,CHECK_2,0.0
2020-04-01 10:00:00,7,1,0,0,CHECK_2,0.0,CHECK_2,0.0
2020-04-01 11:00:00,7,1,0,0,CHECK_2,0.0,CHECK_2,0.0
2020-04-01 12:00:00,7,1,0,0,CHECK_2,0.0,CHECK_2,0.0
2020-04-01 13:00:00,7,1,0,0,CHECK_2,0.0,CHECK_2,0.0
2020-04-01 14:00:00,7,1,0,0,CHECK_2,0.0,CHECK_2,0.0
2020-04-01 15:00:00,7,1,0,0,CHECK_2,0.0,CHECK_2,0.0
2020-04-01 16:00:00,7,1,0,0,CHECK_2,0.0,CHECK_2,0.0
2020-04-01 17:00:00,7,1,0,0,CHECK_2,0.0,CHECK_2,0.0
2020-04-01 18:00:00,7,1,0,0,CHECK_2,0.0,CHECK_2,0.0
2020-04-01 19:00:00,7,1,0,0,CHECK_2,0.0,CHECK_2,0.0
2020-04-01 20:00:00,7,1,0,0,CHECK_2,0.0,CHECK_2,0.0
2020-04-01 21:00:00,7,1,0,0,CHECK_2,0.0,CHECK_2,0.0
2020-04-01 22:00:00,7,1,0,0,CHECK_2,0.0,CHECK_2,0.0
2020-04-01 23:00:00,7,1,0,0,CHECK_2,0.0,CHECK_2,0.0
2020-04-02 00:00:00,7,1,0,0,CHECK_2,0.0,CHECK_2,0.0
2020-04-02 01:00:00,7,1,0,0,CHECK_2,0.0,CHECK_2,0.0
2020-04-02 02:00:00,7,1,0,0,CHECK_2,0.0,CHECK_2,0.0
2020-04-02 03:00:00,7,1,0,0,CHECK_2,0.0,CHECK_2,0.0
2020-04-02 04:00:00,7,1,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-02 05:00:00,7,1,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-02 06:00:00,7,1,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-02 07:00:00,7,1,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-02 08:00:00,7,1,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-02 09:00:00,7,1,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-02 10:00:00,7,1,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-02 11:00:00,7,1,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-02 12:00:00,7,1,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-02 13:00:00,7,1,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-02 14:00:00,7,1,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-02 15:00:00,7,1,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-02 16:00:00,7,1,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-02 17:00:00,7,1,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-02 18:00:00,7,1,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-02 19:00:00,7,1,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-02 20:00:00,7,1,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-02 21:00:00,7,1,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-02 22:00:00,7,1,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-02 23:00:00,7,2,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-03 00:00:00,7,2,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-03 01:00:00,7,2,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-03 02:00:00,7,2,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-03 03:00:00,7,2,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-03 04:00:00,7,2,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-03 05:00:00,7,2,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-03 06:00:00,7,2,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-03 07:00:00,7,2,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-03 08:00:00,7,2,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-03 09:00:00,7,2,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-03 10:00:00,7,2,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-03 11:00:00,7,2,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-03 12:00:00,7,2,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-03 13:00:00,7,2,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-03 14:00:00,7,2,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-03 15:00:00,7,2,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-03 16:00:00,7,2,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-03 17:00:00,7,2,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-03 18:00:00,7,2,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-03 19:00:00,7,2,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-03 20:00:00,7,2,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-03 21:00:00,7,2,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-03 22:00:00,7,2,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-03 23:00:00,7,1,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-04 00:00:00,7,1,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-04 01:00:00,7,1,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-04 02:00:00,7,1,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-04 03:00:00,7,1,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-04 04:00:00,7,1,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-04 05:00:00,7,1,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-04 06:00:00,7,1,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-04 07:00:00,7,1,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-04 08:00:00,7,1,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-04 09:00:00,7,1,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-04 10:00:00,0,0,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-04 11:00:00,0,0,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-04 12:00:00,0,0,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-04 13:00:00,0,0,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-04 14:00:00,0,0,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-04 15:00:00,0,0,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-04 16:00:00,0,0,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-04 17:00:00,0,0,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-04 18:00:00,0,0,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-04 19:00:00,0,0,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-04 20:00:00,0,0,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-04 21:00:00,0,0,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-04 22:00:00,0,0,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-04 23:00:00,0,0,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-05 00:00:00,0,0,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-05 01:00:00,0,0,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-05 02:00:00,0,0,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-05 03:00:00,0,0,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-05 04:00:00,0,0,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-05 05:00:00,0,0,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-05 06:00:00,0,0,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-05 07:00:00,0,0,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-05 08:00:00,0,0,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-05 09:00:00,0,0,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-05 10:00:00,0,0,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-05 11:00:00,0,0,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-05 12:00:00,0,0,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-05 13:00:00,0,0,0,0,PROCESS,0.0,PROCESS,0.0
2020-04-05 14:00:00,0,0,2,7,PROCESS,0.0,PROCESS,0.0
2020-04-05 15:00:00,0,0,2,7,PROCESS,0.0,PROCESS,0.0
2020-04-05 16:00:00,0,0,2,7,PROCESS,0.0,PROCESS,0.0
2020-04-05 17:00:00,0,0,2,7,PROCESS,0.0,PROCESS,0.0
2020-04-05 18:00:00,0,0,2,7,PROCESS,0.0,PROCESS,0.0
2020-04-05 19:00:00,0,0,2,7,PROCESS,0.0,PROCESS,0.0
2020-04-05 20:00:00,0,0,2,7,PROCESS,0.0,PROCESS,0.0
2020-04-05 21:00:00,0,0,2,7,PROCESS,0.0,PROCESS,0.0
2020-04-05 22:00:00,0,0,2,7,PROCESS,0.0,PROCESS,0.0
2020-04-05 23:00:00,0,0,4,6,PROCESS,0.0,PROCESS,0.0
2020-04-06 00:00:00,0,0,4,6,PROCESS,0.0,PROCESS,0.0
2020-04-06 01:00:00,0,0,4,6,PROCESS,0.0,PROCESS,0.0
2020-04-06 02:00:00,0,0,4,6,PROCESS,0.0,PROCESS,0.0
2020-04-06 03:00:00,0,0,4,6,PROCESS,0.0,PROCESS,0.0
2020-04-06 04:00:00,0,0,4,6,PROCESS,0.0,PROCESS,0.0
2020-04-06 05:00:00,0,0,4,6,PROCESS,0.0,PROCESS,0.0
2020-04-06 06:00:00,0,0,4,6,PROCESS,0.0,PROCESS,0.0
2020-04-06 07:00:00,0,0,4,6,CHECK_4,0.0,CHECK_3,0.0
2020-04-06 08:00:00,0,0,4,6,CHECK_4,0.0,CHECK_3,0.0
2020-04-06 09:00:00,0,0,4,6,CHECK_4,0.0,CHECK_3,0.0
2020-04-06 10:00:00,0,0,4,6,CHECK_4,0.0,CHECK_3,0.0
2020-04-06 11:00:00,0,0,4,6,CHECK_4,0.0,CHECK_3,0.0
2020-04-06 12:00:00,0,0,4,6,CHECK_4,0.0,CHECK_3,0.0
2020-04-06 13:00:00,0,0,4,6,CHECK_4,0.0,CHECK_3,0.0
2020-04-06 14:00:00,0,0,4,6,CHECK_4,0.0,CHECK_3,0.0
2020-04-06 15:00:00,0,0,4,6,CHECK_4,0.0,CHECK_3,0.0
2020-04-06 16:00:00,0,0,4,6,CHECK_4,0.0,CHECK_3,0.0
2020-04-06 17:00:00,0,0,4,6,CHECK_4,0.0,CHECK_3,0.0
2020-04-06 18:00:00,0,0,4,6,CHECK_4,0.0,CHECK_3,0.0
2020-04-06 19:00:00,0,0,4,6,CHECK_4,0.0,CHECK_3,0.0
2020-04-06 20:00:00,0,0,4,6,CHECK_4,0.0,CHECK_3,0.0
2020-04-06 21:00:00,0,0,4,6,CHECK_4,0.0,CHECK_3,0.0
2020-04-06 22:00:00,0,0,4,6,CHECK_4,0.0,CHECK_3,0.0
2020-04-06 23:00:00,0,0,3,4,CHECK_4,0.0,CHECK_3,0.0
2020-04-07 00:00:00,0,0,3,4,CHECK_4,0.0,CHECK_3,0.0
2020-04-07 01:00:00,0,0,3,4,CHECK_4,0.0,CHECK_3,0.0
2020-04-07 02:00:00,0,0,3,4,CHECK_4,0.0,CHECK_3,0.0
2020-04-07 03:00:00,0,0,3,4,CHECK_4,0.0,CHECK_3,0.0
